iso3,year,louvain_community,leiden_community,gn_community,dominant_region,community_label
MNE,2010,9,2,30,Pan-Europe,Cluster 9: Pan-Europe
NOR,2010,9,2,31,Pan-Europe,Cluster 9: Pan-Europe
NZL,2010,7,4,2,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
PAN,2010,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
POL,2010,9,2,2,Pan-Europe,Cluster 9: Pan-Europe
PRI,2010,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
PRK,2010,5,3,32,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
PRY,2010,6,1,2,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
ROU,2010,9,1,2,Pan-Europe,Cluster 9: Pan-Europe
RUS,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
SEN,2010,6,1,2,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
SLV,2010,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
SRB,2010,9,2,2,Pan-Europe,Cluster 9: Pan-Europe
SVK,2010,9,2,2,Pan-Europe,Cluster 9: Pan-Europe
SVN,2010,9,2,33,Pan-Europe,Cluster 9: Pan-Europe
TWN,2010,7,3,2,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
UKR,2010,0,6,2,Pan-Europe,Cluster 0: Pan-Europe
AZE,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
GEO,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
IRQ,2010,8,9,2,Western Asia,Cluster 8: Western Asia
KAZ,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
TKM,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
ASM,2010,7,4,34,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
FJI,2010,7,4,35,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
TKL,2010,7,4,36,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
TON,2010,7,4,37,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
VNM,2010,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
