iso3,year,louvain_community,leiden_community,gn_community
AFG,2005,0,0,0
TJK,2005,2,5,0
UZB,2005,2,5,0
COD,2005,4,4,1
AGO,2005,4,4,1
COG,2005,4,4,2
CPV,2005,4,4,3
GIN,2005,7,6,4
MOZ,2005,4,4,0
NAM,2005,4,4,5
PRT,2005,1,2,0
RWA,2005,4,4,1
STP,2005,1,2,6
TCD,2005,4,4,7
ZAF,2005,4,4,0
ZMB,2005,4,4,8
CAN,2005,0,0,0
ALB,2005,3,3,9
GRC,2005,3,3,0
ITA,2005,3,3,0
MKD,2005,3,3,10
TUR,2005,3,3,0
USA,2005,5,1,0
ARG,2005,1,2,0
AND,2005,1,2,11
AUS,2005,0,0,0
BEL,2005,1,2,0
CHE,2005,3,3,0
CHL,2005,1,2,0
DEU,2005,3,3,0
DNK,2005,3,3,12
ESP,2005,1,2,0
FRA,2005,1,2,0
GBR,2005,0,0,0
MAR,2005,1,2,0
NLD,2005,1,2,0
PHL,2005,5,1,0
SWE,2005,3,3,13
URY,2005,1,2,0
ARE,2005,0,0,0
BGD,2005,0,0,0
BHR,2005,0,0,14
EGY,2005,0,0,0
ERI,2005,3,3,15
ETH,2005,1,7,0
IDN,2005,0,0,0
IND,2005,0,0,0
JOR,2005,6,7,0
KWT,2005,0,0,0
LBN,2005,6,7,0
LKA,2005,0,0,0
NGA,2005,7,6,0
NPL,2005,0,0,0
PSE,2005,6,7,0
QAT,2005,0,0,16
SAU,2005,6,7,0
SOM,2005,4,4,1
SYR,2005,6,7,0
THA,2005,5,1,0
TUN,2005,1,2,0
YEM,2005,6,7,0
ARM,2005,2,5,0
AUT,2005,3,3,0
BGR,2005,3,3,0
BOL,2005,1,2,0
BRA,2005,1,2,0
CHN,2005,0,1,0
COL,2005,5,1,0
CRI,2005,5,1,0
CUB,2005,5,1,0
CYP,2005,0,3,17
CZE,2005,3,3,0
DOM,2005,5,1,0
DZA,2005,1,2,0
ECU,2005,1,2,0
EST,2005,2,5,0
GTM,2005,5,1,0
HND,2005,5,1,0
HRV,2005,3,3,0
HTI,2005,5,1,0
HUN,2005,3,3,0
IRL,2005,0,0,0
IRN,2005,0,0,0
ISR,2005,1,7,0
JPN,2005,5,1,0
KOR,2005,5,1,0
LAO,2005,5,1,0
LTU,2005,2,5,0
MEX,2005,5,1,0
MNE,2005,3,3,18
NIC,2005,5,1,0
NOR,2005,3,3,19
NZL,2005,0,0,0
PAN,2005,5,1,0
PER,2005,1,2,0
POL,2005,3,3,0
PRK,2005,5,1,20
PRY,2005,1,2,0
ROU,2005,3,3,0
RUS,2005,2,5,0
SEN,2005,1,2,0
SLV,2005,5,1,0
SRB,2005,3,3,0
