origin_iso3,dest_iso3,year,weight,origin_in_degree_centrality,origin_out_degree_centrality,origin_in_strength,origin_out_strength,origin_betweenness_centrality,origin_pagerank,origin_country_name,origin_continent,origin_un_region,origin_income_group,origin_louvain_community,origin_leiden_community,origin_gn_community,origin_dominant_region,origin_community_label,origin_boundary_score,origin_is_boundary_node,origin_gdp_per_capita,origin_population,origin_unemployment,origin_conflict_intensity,origin_education_index,origin_climate_vulnerability,origin_visa_openness_index,dest_in_degree_centrality,dest_out_degree_centrality,dest_in_strength,dest_out_strength,dest_betweenness_centrality,dest_pagerank,dest_country_name,dest_continent,dest_un_region,dest_income_group,dest_louvain_community,dest_leiden_community,dest_gn_community,dest_dominant_region,dest_community_label,dest_boundary_score,dest_is_boundary_node,dest_gdp_per_capita,dest_population,dest_unemployment,dest_conflict_intensity,dest_education_index,dest_climate_vulnerability,dest_visa_openness_index,log_weight,same_continent,same_income_group,same_community
ETH,SDN,1990,478499.0,0.0301724137931034,0.1896551724137931,436282.0,818613.0,0.0284119831318107,0.0032412210268052,Ethiopia,Africa,Sub-Saharan Africa,Low income,4,3,16,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia,1.0,True,262.108971053707,47609755.0,3.284,49698.0,1.484763579,0.5992,15.0,0.0560344827586206,0.1594827586206896,690339.0,175906.0,0.0364551612180922,0.0052809076891364,Sudan,Africa,Sub-Saharan Africa,Low income,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia,1.0,True,1257.1875,22021481.0,15.619,4335.0,1.5,0.6256,15.0,13.078411489875146,1,1,1
KOR,USA,1990,478396.0,0.0517241379310344,0.3103448275862069,8476.0,922159.0,0.0,0.0008766319981712,South Korea,Asia,Eastern Asia,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,6812.9019416767,42869283.0,2.407,0.0,9.27328968,0.389,82.8,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.1258515239144536,United States,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,23888.6000088133,249623000.0,6.8,0.0,12.98377037,0.3172,93.6,13.078196210695888,0,1,1
AZE,RUS,1990,477127.0,0.0818965517241379,0.1293103448275862,190370.0,688434.0,0.0,0.0011472338256646,Azerbaijan,Asia,Western Asia,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,1238.27189274842,7175200.0,0.9,0.0,9.921096274,0.4462,20.2,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,13.07554007768823,0,1,1
GBR,USA,1990,454844.0,0.1379310344827586,0.5905172413793104,1507261.0,2017950.0,0.3448784333482609,0.0393794016492256,United Kingdom,Europe,Northern Europe,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.8571428571428571,True,19095.4669984608,57247586.0,8.55,44.0,9.635440148,0.2742,92.2,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.1258515239144536,United States,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,23888.6000088133,249623000.0,6.8,0.0,12.98377037,0.3172,93.6,13.027711980554853,0,1,1
UZB,RUS,1990,453721.0,0.043103448275862,0.1508620689655172,888974.0,756748.0,0.0,0.0028556603432228,Uzbekistan,Asia,Central Asia,Lower middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,652.9376529256,20464956.0,1.9,0.0,10.0474884,0.3725,17.3,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,13.025239954668201,0,0,1
TUR,DEU,1990,449417.0,0.1896551724137931,0.3189655172413793,561682.0,845437.0,0.0097822436184505,0.00576314108593,Turkey,Asia,Western Asia,Upper middle income,3,2,2,Pan-Europe,Cluster 3: Pan-Europe,0.8571428571428571,True,2689.52621921233,56015628.0,8.21,526.0,4.455356985,0.4232,37.4,0.1120689655172413,0.5258620689655172,2380955.0,2212649.0,0.3169446932377967,0.0197098294352969,Germany,Europe,Western Europe,High income,3,2,2,Pan-Europe,Cluster 3: Pan-Europe,1.0,True,22385.6778250275,79433029.0,5.316,0.0,10.3637846,0.3107,92.9,13.015708691335789,0,0,1
RUS,BLR,1990,441924.0,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,0.2241379310344827,0.1422413793103448,676895.0,959003.0,0.0,0.0025505049596608,Belarus,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,1706.64091882343,10189348.0,0.6,0.0,9.956694897,0.3686,23.0,12.998895463404084,1,1,1
PSE,JOR,1990,432550.0,0.0603448275862068,0.168103448275862,144433.0,822783.0,0.0813665285863561,0.0145671344471788,Palestine,Asia,Western Asia,Lower middle income,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia,0.8571428571428571,True,1326.56285737146,1978248.0,10.666,0.0,7.631455183,,15.0,0.0301724137931034,0.1637931034482758,464492.0,121565.0,0.0042389722346618,0.0074407864099502,Jordan,Asia,Western Asia,Upper middle income,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia,0.8571428571428571,True,1148.59005469899,3621908.0,21.439,0.0,5.005190277,0.4212,15.1,12.977455517477308,1,0,1
BLR,RUS,1990,412194.0,0.2241379310344827,0.1422413793103448,676895.0,959003.0,0.0,0.0025505049596608,Belarus,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,1706.64091882343,10189348.0,0.6,0.0,9.956694897,0.3686,23.0,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,12.929251817330963,1,1,1
GBR,CAN,1990,392283.0,0.1379310344827586,0.5905172413793104,1507261.0,2017950.0,0.3448784333482609,0.0393794016492256,United Kingdom,Europe,Northern Europe,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.8571428571428571,True,19095.4669984608,57247586.0,8.55,44.0,9.635440148,0.2742,92.2,0.5517241379310345,0.4827586206896551,2160237.0,631436.0,0.0275424503657262,0.0482745571360445,Canada,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.8571428571428571,True,21525.8611387148,27691138.0,10.316,0.0,10.74998669,0.2881,90.0,12.879741346252475,0,1,1
