origin_iso3,dest_iso3,year,weight
KOR,CAN,1990,15804.0
SOM,YEM,1990,15729.0
ROU,CAN,1990,15582.0
NER,NGA,1990,15558.0
USA,JPN,1990,15396.0
PHL,GBR,1990,15382.0
AZE,KAZ,1990,15322.0
POL,ARG,1990,15307.0
LBN,FRA,1990,15192.0
USA,CHN,1990,15092.0
IND,BHR,1990,15059.0
MUS,FRA,1990,15030.0
UZB,AZE,1990,15002.0
IRL,CAN,1990,14989.0
DEU,GRC,1990,14891.0
FRA,ISR,1990,14858.0
LBN,SAU,1990,14851.0
ARG,CHL,1990,14745.0
UZB,ISR,1990,14687.0
AFG,USA,1990,14650.0
ESP,CHE,1990,14505.0
LTU,UKR,1990,14448.0
CZE,SVK,1990,14334.0
CPV,PRT,1990,14314.0
ETH,USA,1990,14275.0
BGR,ROU,1990,14262.0
MEX,USA,1995,3176773.0
RUS,UKR,1995,2525437.0
BGD,IND,1995,1878054.0
UKR,RUS,1995,1790184.0
DEU,USA,1995,1368804.0
KAZ,RUS,1995,1296891.0
AFG,IRN,1995,1188750.0
IND,PAK,1995,1081631.0
PAK,IND,1995,738581.0
RUS,KAZ,1995,684865.0
PHL,USA,1995,675171.0
RUS,UZB,1995,663391.0
TUR,DEU,1995,646744.0
AFG,PAK,1995,631234.0
DZA,FRA,1995,621938.0
POL,DEU,1995,616651.0
CAN,USA,1995,602654.0
PSE,JOR,1995,597451.0
GBR,AUS,1995,571452.0
RWA,COD,1995,570688.0
KOR,USA,1995,511320.0
GBR,USA,1995,503259.0
BLR,RUS,1995,469619.0
UZB,RUS,1995,460514.0
AZE,RUS,1995,423965.0
RUS,BLR,1995,416651.0
CUB,USA,1995,416388.0
SLV,USA,1995,387858.0
IND,NPL,1995,383358.0
JPN,USA,1995,366488.0
GBR,CAN,1995,357793.0
ITA,USA,1995,350695.0
KOR,JPN,1995,332249.0
CHN,USA,1995,323637.0
VNM,USA,1995,323179.0
IRL,GBR,1995,322617.0
MAR,FRA,1995,316052.0
GEO,RUS,1995,315290.0
DOM,USA,1995,314673.0
JAM,USA,1995,305770.0
RWA,TZA,1995,305662.0
POL,USA,1995,304131.0
NPL,IND,1995,303513.0
IND,USA,1995,297733.0
HRV,SRB,1995,287198.0
PRT,FRA,1995,285367.0
BIH,SRB,1995,266360.0
BIH,HRV,1995,265425.0
IDN,MYS,1995,254639.0
BGR,TUR,1995,244728.0
ARM,RUS,1995,241177.0
ROU,DEU,1995,239112.0
KGZ,RUS,1995,232512.0
UKR,POL,1995,230888.0
ITA,FRA,1995,229597.0
LBR,GIN,1995,229283.0
CZE,DEU,1995,226837.0
IND,GBR,1995,223397.0
PHL,SAU,1995,219286.0
AZE,ARM,1995,217582.0
IDN,SAU,1995,209076.0
RUS,LVA,1995,202539.0
ESP,FRA,1995,202417.0
COL,USA,1995,200183.0
BLR,UKR,1995,197047.0
TJK,RUS,1995,191940.0
HTI,USA,1995,188253.0
PRY,ARG,1995,179981.0
EGY,SAU,1995,178877.0
RUS,USA,1995,178369.0
ARM,AZE,1995,176257.0
RUS,TJK,1995,168141.0
RUS,KGZ,1995,166787.0
KAZ,UKR,1995,163623.0
SOM,ETH,1995,161177.0
TUN,FRA,1995,161167.0
BIH,DEU,1995,160189.0
IND,ARE,1995,159801.0
ITA,CAN,1995,158794.0
BDI,TZA,1995,155746.0
RUS,DEU,1995,152602.0
SVK,CZE,1995,151859.0
ITA,DEU,1995,149401.0
NZL,AUS,1995,148649.0
UZB,KAZ,1995,147571.0
GTM,USA,1995,147396.0
ITA,ARG,1995,145365.0
PSE,SYR,1995,143635.0
LKA,IND,1995,142575.0
NIC,USA,1995,141158.0
FRA,USA,1995,140678.0
USA,CAN,1995,140035.0
DEU,GBR,1995,139902.0
USA,MEX,1995,139576.0
RUS,EST,1995,139527.0
SLE,GIN,1995,139293.0
AGO,COD,1995,139247.0
MDA,RUS,1995,139108.0
PER,USA,1995,134904.0
UKR,USA,1995,131605.0
PAK,GBR,1995,130133.0
DEU,CHE,1995,129740.0
UKR,BLR,1995,128693.0
PSE,LBN,1995,128076.0
IRQ,IRN,1995,127283.0
DEU,FRA,1995,124051.0
FIN,SWE,1995,119006.0
KAZ,DEU,1995,118176.0
LAO,USA,1995,117876.0
CHN,CAN,1995,116933.0
ITA,AUS,1995,116809.0
ECU,USA,1995,115082.0
IRL,USA,1995,114396.0
MOZ,ZWE,1995,114387.0
IND,CAN,1995,113181.0
DEU,TUR,1995,112851.0
GRC,DEU,1995,112815.0
AUT,DEU,1995,112294.0
CHN,JPN,1995,111615.0
PRT,BRA,1995,110952.0
PHL,MYS,1995,109941.0
CHL,ARG,1995,109379.0
GBR,NZL,1995,109324.0
PHL,CAN,1995,107227.0
ITA,CHE,1995,106255.0
RUS,ISR,1995,105696.0
DEU,ITA,1995,105648.0
ESP,ARG,1995,104525.0
CHE,ITA,1995,104316.0
HND,USA,1995,103824.0
IND,KWT,1995,102946.0
UKR,ISR,1995,101096.0
UZB,UKR,1995,100537.0
POL,CAN,1995,99439.0
THA,USA,1995,98430.0
GBR,IRL,1995,97348.0
MDA,UKR,1995,97280.0
