model,dependent,predictor,coefficient,std_error,t_stat,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared,adj_r2,aic,bic,significant_95,year
year_1995,log_in_strength,climate_vulnerability,-3.9786131055148513,2.1993605637003597,-1.8089862895517919,0.0722410237884007,-8.320558160344632,0.3633319493149285,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,False,1995
year_2000,log_in_strength,const,0.25085058947753147,2.4140174089933457,0.10391415925295133,0.9173614178021182,-4.514866830506023,5.016568009461086,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,False,2000
year_2000,log_in_strength,log_population,0.7072819283605174,0.05935704691599223,11.915719617276958,4.061182588619004e-24,0.5901001253492927,0.8244637313717421,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,True,2000
year_2000,log_in_strength,log_gdp_per_capita,0.22414120057391937,0.12708293912744947,1.763739508331104,0.07959356527672104,-0.026744055897760494,0.4750264570455992,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,False,2000
year_2000,log_in_strength,conflict_intensity,-6.950421587572449e-06,1.859572490560688e-05,-0.37376448742134255,0.7090508018811905,-4.3661826314694296e-05,2.97609831395494e-05,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,False,2000
year_2000,log_in_strength,unemployment,-0.010830285854610414,0.01689888413078636,-0.6408876332183269,0.522468956670973,-0.044191812652362765,0.02253124094314194,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,False,2000
year_2000,log_in_strength,education_index,0.04980405403624327,0.05319919479807135,0.9361805986967464,0.3505239986146358,-0.055221008514565365,0.1548291165870519,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,False,2000
year_2000,log_in_strength,visa_openness_index,-0.002430989059199298,0.004772497129740775,-0.5093746508615167,0.6111580563256633,-0.011852782217481289,0.006990804099082693,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,False,2000
year_2000,log_in_strength,climate_vulnerability,-4.202612827940147,2.3213438133910955,-1.8104223957246692,0.07201716850074694,-8.785375407876245,0.38014975199595025,176.0,0.5803824392116752,0.5628983741788283,595.425895448898,620.7897674092033,False,2000
year_2005,log_in_strength,const,-1.633536953028437,2.4478819125837115,-0.6673266976772818,0.5054790616370426,-6.466109174505325,3.1990352684484513,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,False,2005
year_2005,log_in_strength,log_population,0.7341573270241821,0.06088615267383294,12.057870218160478,1.610931103966027e-24,0.6139567860701447,0.8543578679782196,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,True,2005
year_2005,log_in_strength,log_gdp_per_capita,0.3547596777959189,0.12775123601388078,2.7769569114569865,0.0061105198984553796,0.10255507950776283,0.606964276084075,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,True,2005
year_2005,log_in_strength,conflict_intensity,-0.00029037121669250995,0.000331202731251432,-0.8767174582025868,0.3818920361104743,-0.0009442267439934864,0.00036348431060846654,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,False,2005
year_2005,log_in_strength,unemployment,-0.008611711789147422,0.01648731980719492,-0.5223233302837583,0.602133285770893,-0.041160734394064896,0.023937310815770052,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,False,2005
year_2005,log_in_strength,education_index,0.020019179749051652,0.052494300040200344,0.3813591139175279,0.7034186638078412,-0.08361429000945736,0.12365264950756066,176.0,0.6067956218844676,0.5904121061296537,583.8481470134395,609.2120189737448,False,2005
