iso3,year,climate_vulnerability
MLI,2012,0.607629348326916
MLI,2013,0.608337117400552
MLI,2014,0.607885796791565
MLI,2015,0.60764909601053
MLI,2016,0.602758778752269
MLI,2017,0.600515731250375
MLI,2018,0.598208739198538
MLI,2019,0.587369837716638
MLI,2020,0.568332658472025
MLI,2021,0.573314401933221
MLI,2022,0.575798941542314
MLI,2023,0.575536510573169
MLI,2025,0.5665
MLT,1990,0.3274
MLT,1995,0.326815143673269
MLT,1996,0.330299524215417
MLT,1997,0.32817843086127
MLT,1998,0.324012811464118
MLT,1999,0.329695048110663
MLT,2000,0.326237132083395
MLT,2001,0.330014950735227
MLT,2002,0.327038670393576
MLT,2003,0.328268755027532
MLT,2004,0.326298072328416
MLT,2005,0.324618719237279
MLT,2006,0.322582149259572
MLT,2007,0.32508991118819
MLT,2008,0.326800408083769
MLT,2009,0.325661369301795
MLT,2010,0.328189093905566
MLT,2011,0.327312496423035
MLT,2012,0.325823922871526
MLT,2013,0.328949078103243
MLT,2014,0.326774749287953
MLT,2015,0.326316113004094
MLT,2016,0.328527094638096
MLT,2017,0.332432346221006
MLT,2018,0.333565672288326
MLT,2019,0.331423846310407
MLT,2020,0.32565709835759
MLT,2021,0.321663438726936
MLT,2022,0.318458676928923
MLT,2023,0.319719009677223
MLT,2025,0.3142
MMR,1990,0.542
MMR,1995,0.537432864569341
MMR,1996,0.536697427962092
MMR,1997,0.537110055675811
MMR,1998,0.535433418831822
MMR,1999,0.534824772445235
MMR,2000,0.532874901783573
MMR,2001,0.532134635007224
MMR,2002,0.529963900535736
MMR,2003,0.531429847304512
MMR,2004,0.531428731255843
MMR,2005,0.528382952346967
MMR,2006,0.527554781636954
MMR,2007,0.521651344536747
MMR,2008,0.521788870432622
MMR,2009,0.520115867062162
MMR,2010,0.51744743655342
MMR,2011,0.515544320044431
MMR,2012,0.511163679726638
MMR,2013,0.511879317668427
MMR,2014,0.512932144089253
MMR,2015,0.499034539629541
MMR,2016,0.501738491263495
MMR,2017,0.491211791239889
MMR,2018,0.498560861060093
MMR,2019,0.500722761257205
MMR,2020,0.505302760934705
MMR,2021,0.515348157477337
MMR,2022,0.515496947663429
MMR,2023,0.514340557222612
MMR,2025,0.5207
MNE,1990,0.3943
MNE,1995,0.394241566613511
MNE,1996,0.394193953140548
MNE,1997,0.39412310322625
MNE,1998,0.394036976209055
MNE,1999,0.393959447874782
MNE,2000,0.394181611280003
MNE,2001,0.39441947601775
MNE,2002,0.394314088201256
MNE,2003,0.394200226878752
MNE,2004,0.394015543049886
MNE,2005,0.393432326428319
MNE,2006,0.393992842585724
MNE,2007,0.394654853310523
MNE,2008,0.391337534359331
MNE,2009,0.391914961641068
MNE,2010,0.384114527396856
MNE,2011,0.385924209934143
MNE,2012,0.384790093146868
MNE,2013,0.370588459257287
MNE,2014,0.370826654320835
MNE,2015,0.37237260631171
MNE,2016,0.373353897756685
MNE,2017,0.37140158002766
MNE,2018,0.365174984502244
MNE,2019,0.36559408836757
MNE,2020,0.361988140209549
MNE,2021,0.364811149032423
MNE,2022,0.364213478324665
MNE,2023,0.363229797256813
MNE,2025,0.3625
MNG,1990,0.4393
MNG,1995,0.439773667941407
MNG,1996,0.438395594138523
MNG,1997,0.439287225647363
MNG,1998,0.438844913896195
MNG,1999,0.435545780160703
MNG,2000,0.440266124532909
MNG,2001,0.437814130553697
MNG,2002,0.432422423906685
MNG,2003,0.424305078213076
MNG,2004,0.421918750834796
MNG,2005,0.404709806534258
MNG,2006,0.40581541246131
MNG,2007,0.40203032864472
MNG,2008,0.402868488527008
MNG,2009,0.400713037092502
MNG,2010,0.397756134097514
MNG,2011,0.398728682766065
MNG,2012,0.391149283313261
MNG,2013,0.389189323289862
MNG,2014,0.386440761874217
MNG,2015,0.386213575831421
MNG,2016,0.391070259390769
MNG,2017,0.365912821041466
MNG,2018,0.361012806076537
MNG,2019,0.350603232502162
MNG,2020,0.351227568538759
MNG,2021,0.35193869374302
MNG,2022,0.364897175053049
MNG,2023,0.365310365874975
MNG,2025,0.367
MOZ,1990,0.5196
MOZ,1995,0.50766298207097
MOZ,1996,0.507037437876289
MOZ,1997,0.507274470854132
MOZ,1998,0.504194005610655
MOZ,1999,0.4997547397171
MOZ,2000,0.495699743478995
MOZ,2001,0.510218629615899
MOZ,2002,0.509319375124642
MOZ,2003,0.508008176248244
MOZ,2004,0.503657815790071
MOZ,2005,0.500765763923089
MOZ,2006,0.499498561284894
MOZ,2007,0.501218147930014
MOZ,2008,0.499101325188395
MOZ,2009,0.500210207454076
MOZ,2010,0.498301630599308
MOZ,2011,0.499005122418093
MOZ,2012,0.498403175727957
MOZ,2013,0.496612364902262
MOZ,2014,0.495289694956668
MOZ,2015,0.494313719790159
MOZ,2016,0.494692762150824
MOZ,2017,0.494970818553045
MOZ,2018,0.492964879829689
MOZ,2019,0.493696258130162
MOZ,2020,0.494780371136377
MOZ,2021,0.495192645635199
MOZ,2022,0.491543032423197
MOZ,2023,0.493088994998562
MOZ,2025,0.4931
MRT,1990,0.566
MRT,1995,0.573551098779419
MRT,1996,0.57382665323547
MRT,1997,0.575175267020187
MRT,1998,0.576732188304963
MRT,1999,0.579071625444797
MRT,2000,0.581104334883587
MRT,2001,0.578432583439209
MRT,2002,0.580051699763032
MRT,2003,0.584919122906463
MRT,2004,0.575395266180026
MRT,2005,0.576125123904548
MRT,2006,0.554561206927357
MRT,2007,0.553277885635933
MRT,2008,0.551403805499023
MRT,2009,0.565179754578166
MRT,2010,0.553328188081541
MRT,2011,0.561993837453369
MRT,2012,0.55330751606312
MRT,2013,0.556375283447143
MRT,2014,0.55916029198934
MRT,2015,0.562964790827046
MRT,2016,0.558962150532615
MRT,2017,0.561639620698017
MRT,2018,0.55712734035573
MRT,2019,0.557229847303515
MRT,2020,0.558666433289015
MRT,2021,0.566240435346283
MRT,2022,0.578473639215463
MRT,2023,0.578337692788211
MRT,2025,0.5868
MUS,1990,0.4373
MUS,1995,0.443285144605467
MUS,1996,0.444669353266466
MUS,1997,0.44247651105268
MUS,1998,0.447630185296453
MUS,1999,0.449440652150742
MUS,2000,0.449223682115408
MUS,2001,0.451323156806297
MUS,2002,0.447228832204673
MUS,2003,0.443377123479088
MUS,2004,0.441968644162139
MUS,2005,0.439631688324301
MUS,2006,0.440155022088321
MUS,2007,0.44263495888648
MUS,2008,0.446188977107838
MUS,2009,0.445844821901668
MUS,2010,0.448441481488588
MUS,2011,0.44425514571248
MUS,2012,0.439253168600273
MUS,2013,0.44074067666562
MUS,2014,0.437997251163699
MUS,2015,0.443353233563543
MUS,2016,0.43723837238164
MUS,2017,0.43747742174497
MUS,2018,0.437449615364854
MUS,2019,0.435798420445558
MUS,2020,0.409486296445023
MUS,2021,0.409651226142841
MUS,2022,0.411210259447303
MUS,2023,0.411861399624017
MUS,2025,0.4016
MWI,1990,0.6109
MWI,1995,0.606269729278927
MWI,1996,0.606055918616996
MWI,1997,0.606122967450289
MWI,1998,0.605645757692994
MWI,1999,0.604136436003604
MWI,2000,0.601601429247874
MWI,2001,0.60143100934958
MWI,2002,0.604250403645556
