dest_iso3,origin_iso3,year,migrant_stock,is_extrapolated
LBY,KWT,1990,2534.0,False
LBY,LBN,1990,3696.0,False
LBY,OMN,1990,469.0,False
LBY,QAT,1990,363.0,False
LBY,SAU,1990,4880.0,False
LBY,PSE,1990,74352.0,False
LBY,SYR,1990,6935.0,False
LBY,TUR,1990,492.0,False
LBY,ARE,1990,459.0,False
LBY,YEM,1990,4666.0,False
LBY,BLR,1990,401.0,False
LBY,HUN,1990,188.0,False
LBY,POL,1990,485.0,False
LBY,ROU,1990,302.0,False
LBY,RUS,1990,17335.0,False
LBY,UKR,1990,91.0,False
LBY,DNK,1990,396.0,False
LBY,FIN,1990,331.0,False
LBY,NOR,1990,112.0,False
LBY,SWE,1990,436.0,False
LBY,GBR,1990,3786.0,False
LBY,ALB,1990,106.0,False
LBY,BIH,1990,33.0,False
LBY,GRC,1990,2117.0,False
LBY,ITA,1990,6026.0,False
LBY,ESP,1990,591.0,False
LBY,AUT,1990,1097.0,False
LBY,BEL,1990,951.0,False
LBY,FRA,1990,4047.0,False
LBY,DEU,1990,12477.0,False
LBY,NLD,1990,1452.0,False
LBY,CHE,1990,2383.0,False
LBY,SLV,1990,270.0,False
LBY,BRA,1990,233.0,False
LBY,CAN,1990,376.0,False
LBY,USA,1990,8923.0,False
LBY,AUS,1990,690.0,False
MAR,COG,1990,606.0,False
MAR,DZA,1990,4330.0,False
MAR,EGY,1990,598.0,False
MAR,LBY,1990,378.0,False
MAR,TUN,1990,830.0,False
MAR,GIN,1990,317.0,False
MAR,MRT,1990,512.0,False
MAR,SEN,1990,581.0,False
MAR,IRQ,1990,551.0,False
MAR,LBN,1990,434.0,False
MAR,SYR,1990,659.0,False
MAR,GBR,1990,390.0,False
MAR,ITA,1990,610.0,False
MAR,ESP,1990,1320.0,False
MAR,BEL,1990,451.0,False
MAR,FRA,1990,7095.0,False
MAR,DEU,1990,463.0,False
MAR,USA,1990,589.0,False
TUN,DZA,1990,6912.0,False
TUN,EGY,1990,305.0,False
TUN,LBY,1990,615.0,False
TUN,MAR,1990,3655.0,False
TUN,MLI,1990,100.0,False
TUN,MRT,1990,189.0,False
TUN,NGA,1990,58.0,False
TUN,SEN,1990,163.0,False
TUN,PSE,1990,296.0,False
TUN,SYR,1990,188.0,False
TUN,ITA,1990,815.0,False
TUN,FRA,1990,1944.0,False
TUN,DEU,1990,454.0,False
TUN,USA,1990,119.0,False
BWA,KEN,1990,54.0,False
BWA,MDG,1990,40.0,False
BWA,MWI,1990,269.0,False
BWA,MUS,1990,120.0,False
BWA,MOZ,1990,85.0,False
BWA,UGA,1990,137.0,False
BWA,TZA,1990,203.0,False
BWA,ZMB,1990,892.0,False
BWA,ZWE,1990,1977.0,False
BWA,AGO,1990,262.0,False
BWA,COD,1990,245.0,False
BWA,SWZ,1990,46.0,False
BWA,LSO,1990,256.0,False
BWA,NAM,1990,128.0,False
BWA,ZAF,1990,1989.0,False
BWA,NGA,1990,46.0,False
BWA,CHN,1990,30.0,False
BWA,IND,1990,886.0,False
BWA,PAK,1990,63.0,False
BWA,LKA,1990,187.0,False
BWA,DNK,1990,47.0,False
BWA,IRL,1990,82.0,False
BWA,NOR,1990,49.0,False
BWA,SWE,1990,49.0,False
BWA,GBR,1990,1441.0,False
BWA,ITA,1990,56.0,False
BWA,PRT,1990,52.0,False
BWA,DEU,1990,148.0,False
BWA,NLD,1990,75.0,False
BWA,CAN,1990,55.0,False
BWA,USA,1990,277.0,False
BWA,AUS,1990,59.0,False
SWZ,BDI,1990,3.0,False
SWZ,MOZ,1990,20308.0,False
SWZ,AGO,1990,1.0,False
SWZ,COD,1990,2.0,False
SWZ,BWA,1990,70.0,False
SWZ,LSO,1990,115.0,False
SWZ,ZAF,1990,10945.0,False
SWZ,LBR,1990,1.0,False
SWZ,CAN,1990,1.0,False
SWZ,USA,1990,155.0,False
LSO,MWI,1990,20.0,False
LSO,MOZ,1990,11.0,False
LSO,UGA,1990,83.0,False
LSO,TZA,1990,59.0,False
LSO,ZMB,1990,37.0,False
LSO,ZWE,1990,37.0,False
LSO,BWA,1990,54.0,False
LSO,SWZ,1990,27.0,False
LSO,NAM,1990,1.0,False
LSO,ZAF,1990,1500.0,False
LSO,GHA,1990,41.0,False
LSO,CHN,1990,70.0,False
LSO,IND,1990,136.0,False
LSO,PAK,1990,136.0,False
LSO,USA,1990,46.0,False
NAM,BDI,1990,227.0,False
NAM,ETH,1990,214.0,False
NAM,KEN,1990,819.0,False
NAM,MWI,1990,256.0,False
NAM,MUS,1990,94.0,False
NAM,MOZ,1990,88.0,False
NAM,RWA,1990,236.0,False
NAM,SOM,1990,42.0,False
NAM,UGA,1990,352.0,False
NAM,TZA,1990,830.0,False
NAM,ZMB,1990,1584.0,False
NAM,ZWE,1990,10613.0,False
NAM,AGO,1990,8935.0,False
NAM,CMR,1990,31.0,False
NAM,COG,1990,697.0,False
NAM,COD,1990,2453.0,False
NAM,DZA,1990,380.0,False
NAM,EGY,1990,101.0,False
NAM,LBY,1990,27.0,False
NAM,BWA,1990,504.0,False
NAM,SWZ,1990,160.0,False
NAM,LSO,1990,97.0,False
NAM,ZAF,1990,6325.0,False
NAM,BEN,1990,131.0,False
NAM,BFA,1990,55.0,False
NAM,GMB,1990,71.0,False
NAM,GHA,1990,88.0,False
NAM,GIN,1990,31.0,False
NAM,NGA,1990,568.0,False
NAM,SEN,1990,18.0,False
NAM,SLE,1990,131.0,False
NAM,CHN,1990,1306.0,False
NAM,JPN,1990,105.0,False
NAM,KOR,1990,31.0,False
NAM,AFG,1990,38.0,False
NAM,BGD,1990,18.0,False
NAM,IND,1990,348.0,False
NAM,IRN,1990,18.0,False
NAM,PAK,1990,27.0,False
NAM,IDN,1990,84.0,False
NAM,PHL,1990,232.0,False
NAM,THA,1990,64.0,False
NAM,ARM,1990,1.0,False
NAM,BHR,1990,52.0,False
NAM,ISR,1990,71.0,False
NAM,LBN,1990,27.0,False
NAM,TUR,1990,21.0,False
NAM,BGR,1990,35.0,False
NAM,CZE,1990,77.0,False
NAM,POL,1990,164.0,False
NAM,ROU,1990,21.0,False
NAM,RUS,1990,280.0,False
NAM,UKR,1990,52.0,False
NAM,DNK,1990,55.0,False
NAM,FIN,1990,84.0,False
NAM,IRL,1990,47.0,False
NAM,NOR,1990,52.0,False
NAM,SWE,1990,81.0,False
NAM,GBR,1990,1478.0,False
NAM,ITA,1990,677.0,False
NAM,PRT,1990,264.0,False
NAM,ESP,1990,210.0,False
NAM,AUT,1990,418.0,False
NAM,BEL,1990,136.0,False
NAM,FRA,1990,439.0,False
NAM,DEU,1990,7781.0,False
NAM,LUX,1990,35.0,False
NAM,NLD,1990,393.0,False
NAM,CHE,1990,368.0,False
NAM,ATG,1990,418.0,False
NAM,BHS,1990,55.0,False
NAM,CUB,1990,601.0,False
NAM,ARG,1990,47.0,False
NAM,BRA,1990,464.0,False
NAM,CHL,1990,14.0,False
NAM,CAN,1990,156.0,False
NAM,USA,1990,906.0,False
NAM,AUS,1990,489.0,False
NAM,NZL,1990,31.0,False
ZAF,BDI,1990,2.0,False
ZAF,COM,1990,4.0,False
ZAF,ERI,1990,2.0,False
ZAF,ETH,1990,6.0,False
ZAF,KEN,1990,3105.0,False
ZAF,MDG,1990,252.0,False
ZAF,MWI,1990,2251.0,False
ZAF,MUS,1990,2346.0,False
ZAF,MOZ,1990,18553.0,False
ZAF,RWA,1990,28.0,False
ZAF,SOM,1990,6.0,False
ZAF,UGA,1990,381.0,False
ZAF,TZA,1990,496.0,False
ZAF,ZMB,1990,9003.0,False
ZAF,ZWE,1990,40838.0,False
ZAF,AGO,1990,2060.0,False
ZAF,CMR,1990,2.0,False
ZAF,COG,1990,1167.0,False
ZAF,COD,1990,1180.0,False
ZAF,GAB,1990,7.0,False
ZAF,DZA,1990,267.0,False
ZAF,EGY,1990,1245.0,False
ZAF,LBY,1990,46.0,False
ZAF,MAR,1990,37.0,False
ZAF,BWA,1990,4099.0,False
ZAF,SWZ,1990,9206.0,False
ZAF,LSO,1990,21921.0,False
ZAF,NAM,1990,20605.0,False
ZAF,BEN,1990,3.0,False
ZAF,GHA,1990,287.0,False
ZAF,GIN,1990,4.0,False
ZAF,LBR,1990,32.0,False
ZAF,MLI,1990,1.0,False
ZAF,NER,1990,1.0,False
ZAF,NGA,1990,1.0,False
ZAF,SEN,1990,75.0,False
