iso3,year,gdp_per_capita,population,unemployment,conflict_intensity,education_index,climate_vulnerability
BRA,2005,4827.78165890291,184688101.0,10.551,0.0,6.150349855,0.385046386841539
BRA,2010,11403.2840038694,193701929.0,8.42,0.0,6.878170013,0.378526828445353
BRA,2015,8936.1955889444,201675532.0,8.538,0.0,7.506820202,0.370834532029391
BRA,2020,7074.19407495707,208660842.0,13.697,0.0,8.278307638,0.368474971010616
BRA,2025,,,5.97,0.0,,
BRB,1990,7781.40573306125,258582.0,,0.0,8.369409254,
BRB,1995,8460.47380869104,262039.0,19.66,0.0,9.021974579,0.356884170638087
BRB,2000,11674.6736471764,262063.0,9.35,0.0,8.99090004,0.354356642071039
BRB,2005,14214.4202213572,268706.0,9.08,0.0,9.519167208,0.359752260581963
BRB,2010,20610.5150721363,275243.0,10.69,0.0,9.653823545,0.376445819468084
BRB,2015,20424.2087530019,278990.0,9.803,0.0,9.695256264,0.365168554447528
BRB,2020,19194.4919736739,281698.0,10.586,0.0,9.89206168,0.372416837395272
BRB,2025,,,6.524,0.0,,
BRN,1990,23658.7166330381,255292.0,,0.0,7.51,
BRN,1995,26443.2564746713,291195.0,5.066,0.0,8.06,0.428414004984376
BRN,2000,20130.2572346624,326424.0,5.53,0.0,8.29,0.427858079533164
BRN,2005,29386.2703822862,358916.0,5.973,0.0,8.48,0.408086947280071
BRN,2010,34937.5555357155,392332.0,6.487,0.0,8.77,0.400418105095865
BRN,2015,30625.1287744656,422212.0,7.703,0.0,9.02,0.406091835403274
BRN,2020,26834.3592233943,447404.0,7.409,0.0,9.22,0.405449326038726
BRN,2025,,,5.277,0.0,,
BTN,1990,488.327431477129,589287.0,,0.0,,
BTN,1995,530.103676927417,547989.0,1.4,0.0,,0.537460383991081
BTN,2000,771.924911410619,596863.0,1.655,0.0,,0.535679473248458
BTN,2005,1299.94938578359,661865.0,3.1,0.0,,0.545380615017862
BTN,2010,2435.5798056672,701632.0,3.32,0.0,2.359933,0.536860685596942
BTN,2015,2954.04081911097,740618.0,2.45,0.0,3.321951962,0.518767547610108
BTN,2020,3191.66906999331,770006.0,5.03,0.0,5.835794662,0.505300491938609
BTN,2025,,,3.227,0.0,,
BWA,1990,2903.15381562611,1305696.0,,0.0,5.52,
BWA,1995,3156.18194514079,1498836.0,21.394,0.0,6.71,0.497832289051079
BWA,2000,3450.81180622992,1677382.0,15.88,0.0,7.61,0.483023181313863
BWA,2005,5391.07076619634,1839877.0,19.852,0.0,8.28,0.471771062227888
BWA,2010,6215.73216077919,2033111.0,17.86,0.0,8.87,0.458235942908555
BWA,2015,6141.20394726616,2203273.0,18.915,0.0,10.02,0.441424298839152
BWA,2020,6323.2974967659,2365894.0,21.017,0.0,10.42,0.427282592121424
BWA,2025,,,24.477,0.0,,
CAF,1990,501.656200636394,2871910.0,,0.0,1.867779274,
CAF,1995,333.145863233895,3348052.0,5.871,0.0,2.203254192,0.566174271090975
CAF,2000,239.154133726071,3833416.0,5.722,0.0,2.593130448,0.572872453947789
CAF,2005,311.950023138687,4288810.0,5.691,0.0,2.955806035,0.577679893480224
CAF,2010,476.873786950728,4492995.0,5.658,0.0,3.236879615,0.57695999568616
CAF,2015,366.322853938121,4629320.0,5.775,0.0,3.835294334,0.579153936486907
CAF,2020,462.879071294011,5026628.0,6.519,0.0,3.9531639,0.58011051530741
CAF,2025,,,6.251,0.0,,
CAN,1990,21525.8611387148,27691138.0,,0.0,10.74998669,
CAN,1995,20679.634792669,29302311.0,9.489,0.0,11.61542435,0.287536079744662
CAN,2000,24271.0020563821,30685730.0,6.829,0.0,12.48357935,0.286942440726614
CAN,2005,36383.6600068095,32242732.0,6.758,0.0,13.18605785,0.285686920672616
CAN,2010,47560.6666009406,34005902.0,8.178,0.0,13.51386223,0.282958787445727
CAN,2015,43594.1941045394,35704498.0,6.945,0.0,13.69808826,0.281935186256586
CAN,2020,43537.839298904,38028638.0,9.657,0.0,13.86876597,0.283558443300829
CAN,2025,,,6.907,0.0,,
CEB,1990,2457.17454927702,110743128.0,,0.0,,
CEB,1995,3593.18352287584,109864246.0,11.0167295576433,0.0,,
CEB,2000,3959.62494896645,108447824.0,12.1493697321005,0.0,,
CEB,2005,8352.50713208298,106041911.0,12.0311529429654,0.0,,
CEB,2010,12635.7541209869,104421447.0,9.92718738959061,0.0,,
CEB,2015,12596.8862547468,102973167.0,7.81260796234007,0.0,,
CEB,2020,16581.3526115028,101215763.0,4.3496421220328,0.0,,
CEB,2025,,,4.14452082089943,0.0,,
CHE,1990,39574.5398083788,6715519.0,,0.0,10.53357283,
CHE,1995,50113.8321221345,7040687.0,3.094,0.0,10.48188699,0.293450119997046
CHE,2000,38865.021939688,7184250.0,2.658,0.0,10.63694449,0.292590042632675
CHE,2005,56242.8933645639,7437115.0,4.437,0.0,11.20548866,0.292778717484656
CHE,2010,76531.3729407691,7824909.0,4.808,0.0,13.32365036,0.285476828781736
CHE,2015,83806.4476003837,8282396.0,4.801,0.0,13.71187973,0.282400066569062
CHE,2020,85897.7843338323,8638167.0,4.817,0.0,13.90406622,0.255350560803248
CHE,2025,,,4.873,0.0,,
CHI,1990,,143087.0,,0.0,,
CHI,1995,,145247.0,6.974,0.0,,
CHI,2000,43479.1940767689,148110.0,5.351,0.0,,
CHI,2005,57647.1188908006,153126.0,5.833,0.0,,
CHI,2010,56123.4597963451,158621.0,7.024,0.0,,
CHI,2015,61847.8212238857,163454.0,7.928,0.0,,
CHI,2020,56785.9402005039,166235.0,6.633,0.0,,
CHI,2025,,,6.169,0.0,,
CHL,1990,2487.76829657299,13437176.0,,0.0,8.387270623,
CHL,1995,5081.4682771561,14527381.0,4.7,0.0,8.784672473,0.359629264796037
CHL,2000,5052.99245766325,15503635.0,10.491,0.0,9.150700493,0.361627976961374
CHL,2005,7480.32330998636,16348778.0,9.34,0.0,9.736940066,0.356231621276745
CHL,2010,12632.8704724192,17181464.0,8.547,0.0,9.85243988,0.352105813465069
CHL,2015,13433.9202987032,18047625.0,6.605,0.0,10.25590992,0.337793204522337
CHL,2020,13114.815470545,19370624.0,10.934,0.0,11.11136804,0.333157100552715
CHL,2025,,,8.974,0.0,,
CHN,1990,318.50335359039,1135185000.0,,0.0,4.143789768,
CHN,1995,612.680277898627,1204855000.0,3.0,0.0,5.036169767,0.406837482872689
CHN,2000,969.199513696287,1262645000.0,3.26,0.0,5.928549767,0.397989771928511
CHN,2005,1777.64496828464,1303720000.0,4.52,0.0,6.327514887,0.406391542814289
CHN,2010,4629.24551710077,1337705000.0,4.53,0.0,6.726480007,0.393382322777987
CHN,2015,8175.33285077393,1379860000.0,4.65,0.0,7.407755136,0.386337833427969
CHN,2020,10627.4637989619,1411100000.0,5.0,1.0,8.106910446,0.383590366160879
CHN,2025,,,4.615,0.0,,
CIV,1990,885.647842214928,12189778.0,,0.0,4.585823318,
CIV,1995,740.4730999133,14855565.0,4.1,0.0,5.619881517,0.494340247460916
